"ANALYTE","COLOR","CSO","DATA","POSTED","SAMPLE_DATE","SOURCE"
"COLI_E","",NA,"10","","2016-09-06 00:00:00.0","BAY#202.4_SL"
"COLI_TOTAL","",NA,"20","","2016-09-06 00:00:00.0","BAY#202.4_SL"
"ENTERO","",NA,"<10","","2016-09-06 00:00:00.0","BAY#202.4_SL"
"COLI_E","",NA,"41","","2016-08-29 00:00:00.0","BAY#202.4_SL"
"COLI_TOTAL","",NA,"84","","2016-08-29 00:00:00.0","BAY#202.4_SL"
"ENTERO","",NA,"41","","2016-08-29 00:00:00.0","BAY#202.4_SL"
"COLI_E","",NA,"10","","2016-08-22 00:00:00.0","BAY#202.4_SL"
"COLI_TOTAL","",NA,"74","","2016-08-22 00:00:00.0","BAY#202.4_SL"
"ENTERO","",NA,"10","","2016-08-22 00:00:00.0","BAY#202.4_SL"
"COLI_E","",NA,"30","","2016-08-15 00:00:00.0","BAY#202.4_SL"
"COLI_TOTAL","",NA,"160","","2016-08-15 00:00:00.0","BAY#202.4_SL"
"ENTERO","",NA,"52","","2016-08-15 00:00:00.0","BAY#202.4_SL"
"COLI_E","",NA,"<10","","2016-08-08 00:00:00.0","BAY#202.4_SL"
"COLI_TOTAL","",NA,"20","","2016-08-08 00:00:00.0","BAY#202.4_SL"
"ENTERO","",NA,"<10","","2016-08-08 00:00:00.0","BAY#202.4_SL"
"COLI_E","",NA,"<10","","2016-08-01 00:00:00.0","BAY#202.4_SL"
"COLI_TOTAL","",NA,"<10","","2016-08-01 00:00:00.0","BAY#202.4_SL"
"ENTERO","",NA,"<10","","2016-08-01 00:00:00.0","BAY#202.4_SL"
"COLI_E","",NA,"10","","2016-07-25 00:00:00.0","BAY#202.4_SL"
"COLI_TOTAL","",NA,"10","","2016-07-25 00:00:00.0","BAY#202.4_SL"
"ENTERO","",NA,"<10","","2016-07-25 00:00:00.0","BAY#202.4_SL"
"COLI_E","",NA,"<10","","2016-07-18 00:00:00.0","BAY#202.4_SL"
"COLI_TOTAL","",NA,"31","","2016-07-18 00:00:00.0","BAY#202.4_SL"
"ENTERO","",NA,"<10","","2016-07-18 00:00:00.0","BAY#202.4_SL"
"COLI_E","",NA,"<10","","2016-07-11 00:00:00.0","BAY#202.4_SL"
"COLI_TOTAL","",NA,"20","","2016-07-11 00:00:00.0","BAY#202.4_SL"
"ENTERO","",NA,"<10","","2016-07-11 00:00:00.0","BAY#202.4_SL"
"COLI_E","",NA,"20","","2016-07-05 00:00:00.0","BAY#202.4_SL"
"COLI_TOTAL","",NA,"52","","2016-07-05 00:00:00.0","BAY#202.4_SL"
"ENTERO","",NA,"41","","2016-07-05 00:00:00.0","BAY#202.4_SL"
"COLI_E","",NA,"<10","","2016-06-27 00:00:00.0","BAY#202.4_SL"
"COLI_TOTAL","",NA,"<10","","2016-06-27 00:00:00.0","BAY#202.4_SL"
"ENTERO","",NA,"<10","","2016-06-27 00:00:00.0","BAY#202.4_SL"
"COLI_E","",NA,"41","","2016-06-20 00:00:00.0","BAY#202.4_SL"
"COLI_TOTAL","",NA,"86","","2016-06-20 00:00:00.0","BAY#202.4_SL"
"ENTERO","",NA,"20","","2016-06-20 00:00:00.0","BAY#202.4_SL"
"COLI_E","",NA,"<10","","2016-06-13 00:00:00.0","BAY#202.4_SL"
"COLI_TOTAL","",NA,"<10","","2016-06-13 00:00:00.0","BAY#202.4_SL"
"ENTERO","",NA,"41","","2016-06-13 00:00:00.0","BAY#202.4_SL"
"COLI_E","",NA,"<10","","2016-09-06 00:00:00.0","BAY#202.5_SL"
"COLI_TOTAL","",NA,"<10","","2016-09-06 00:00:00.0","BAY#202.5_SL"
"ENTERO","",NA,"<10","","2016-09-06 00:00:00.0","BAY#202.5_SL"
"COLI_E","",NA,"<10","","2016-08-29 00:00:00.0","BAY#202.5_SL"
"COLI_TOTAL","",NA,"10","","2016-08-29 00:00:00.0","BAY#202.5_SL"
"ENTERO","",NA,"10","","2016-08-29 00:00:00.0","BAY#202.5_SL"
"COLI_E","",NA,"41","","2016-08-22 00:00:00.0","BAY#202.5_SL"
"COLI_TOTAL","",NA,"52","","2016-08-22 00:00:00.0","BAY#202.5_SL"
"ENTERO","",NA,"<10","","2016-08-22 00:00:00.0","BAY#202.5_SL"
"COLI_E","",NA,"<10","","2016-08-15 00:00:00.0","BAY#202.5_SL"
"COLI_TOTAL","",NA,"204","","2016-08-15 00:00:00.0","BAY#202.5_SL"
"ENTERO","",NA,"<10","","2016-08-15 00:00:00.0","BAY#202.5_SL"
"COLI_E","",NA,"<10","","2016-08-08 00:00:00.0","BAY#202.5_SL"
"COLI_TOTAL","",NA,"2489","","2016-08-08 00:00:00.0","BAY#202.5_SL"
"ENTERO","",NA,"<10","","2016-08-08 00:00:00.0","BAY#202.5_SL"
"COLI_E","",NA,"<10","","2016-08-01 00:00:00.0","BAY#202.5_SL"
"COLI_TOTAL","",NA,"<10","","2016-08-01 00:00:00.0","BAY#202.5_SL"
"ENTERO","",NA,"<10","","2016-08-01 00:00:00.0","BAY#202.5_SL"
"COLI_E","",NA,"<10","","2016-07-25 00:00:00.0","BAY#202.5_SL"
"COLI_TOTAL","",NA,"<10","","2016-07-25 00:00:00.0","BAY#202.5_SL"
"ENTERO","",NA,"<10","","2016-07-25 00:00:00.0","BAY#202.5_SL"
"COLI_E","",NA,"<10","","2016-07-18 00:00:00.0","BAY#202.5_SL"
"COLI_TOTAL","",NA,"20","","2016-07-18 00:00:00.0","BAY#202.5_SL"
"ENTERO","",NA,"<10","","2016-07-18 00:00:00.0","BAY#202.5_SL"
"COLI_E","",NA,"<10","","2016-07-11 00:00:00.0","BAY#202.5_SL"
"COLI_TOTAL","",NA,"<10","","2016-07-11 00:00:00.0","BAY#202.5_SL"
"ENTERO","",NA,"<10","","2016-07-11 00:00:00.0","BAY#202.5_SL"
"COLI_E","",NA,"<10","","2016-07-05 00:00:00.0","BAY#202.5_SL"
"COLI_TOTAL","",NA,"<10","","2016-07-05 00:00:00.0","BAY#202.5_SL"
"ENTERO","",NA,"<10","","2016-07-05 00:00:00.0","BAY#202.5_SL"
"COLI_E","",NA,"<10","","2016-06-27 00:00:00.0","BAY#202.5_SL"
"COLI_TOTAL","",NA,"20","","2016-06-27 00:00:00.0","BAY#202.5_SL"
"ENTERO","",NA,"10","","2016-06-27 00:00:00.0","BAY#202.5_SL"
"COLI_E","",NA,"<10","","2016-06-20 00:00:00.0","BAY#202.5_SL"
"COLI_TOTAL","",NA,"20","","2016-06-20 00:00:00.0","BAY#202.5_SL"
"ENTERO","",NA,"10","","2016-06-20 00:00:00.0","BAY#202.5_SL"
"COLI_E","",NA,"10","","2016-06-13 00:00:00.0","BAY#202.5_SL"
"COLI_TOTAL","",NA,"1956","","2016-06-13 00:00:00.0","BAY#202.5_SL"
"ENTERO","",NA,"<10","","2016-06-13 00:00:00.0","BAY#202.5_SL"
"COLI_E","",NA,"10","","2016-09-06 00:00:00.0","BAY#210.1_SL"
"COLI_TOTAL","",NA,"20","","2016-09-06 00:00:00.0","BAY#210.1_SL"
"ENTERO","",NA,"<10","","2016-09-06 00:00:00.0","BAY#210.1_SL"
"COLI_E","",NA,"10","","2016-08-29 00:00:00.0","BAY#210.1_SL"
"COLI_TOTAL","",NA,"20","","2016-08-29 00:00:00.0","BAY#210.1_SL"
"ENTERO","",NA,"<10","","2016-08-29 00:00:00.0","BAY#210.1_SL"
"COLI_E","",NA,"10","","2016-08-22 00:00:00.0","BAY#210.1_SL"
"COLI_TOTAL","",NA,"30","","2016-08-22 00:00:00.0","BAY#210.1_SL"
"ENTERO","",NA,"<10","","2016-08-22 00:00:00.0","BAY#210.1_SL"
"COLI_E","",NA,"<10","","2016-08-15 00:00:00.0","BAY#210.1_SL"
"COLI_TOTAL","",NA,"<10","","2016-08-15 00:00:00.0","BAY#210.1_SL"
"ENTERO","",NA,"<10","","2016-08-15 00:00:00.0","BAY#210.1_SL"
"COLI_E","",NA,"10","","2016-08-08 00:00:00.0","BAY#210.1_SL"
"COLI_TOTAL","",NA,"10","","2016-08-08 00:00:00.0","BAY#210.1_SL"
"ENTERO","",NA,"<10","","2016-08-08 00:00:00.0","BAY#210.1_SL"
"COLI_E","",NA,"<10","","2016-08-01 00:00:00.0","BAY#210.1_SL"
"COLI_TOTAL","",NA,"10","","2016-08-01 00:00:00.0","BAY#210.1_SL"
"ENTERO","",NA,"<10","","2016-08-01 00:00:00.0","BAY#210.1_SL"
"COLI_E","",NA,"10","","2016-07-25 00:00:00.0","BAY#210.1_SL"
"COLI_TOTAL","",NA,"20","","2016-07-25 00:00:00.0","BAY#210.1_SL"
"ENTERO","",NA,"<10","","2016-07-25 00:00:00.0","BAY#210.1_SL"
"COLI_E","",NA,"<10","","2016-07-18 00:00:00.0","BAY#210.1_SL"
"COLI_TOTAL","",NA,"<10","","2016-07-18 00:00:00.0","BAY#210.1_SL"
"ENTERO","",NA,"<10","","2016-07-18 00:00:00.0","BAY#210.1_SL"
"COLI_E","",NA,"<10","","2016-07-11 00:00:00.0","BAY#210.1_SL"
"COLI_TOTAL","",NA,"201","","2016-07-11 00:00:00.0","BAY#210.1_SL"
"ENTERO","",NA,"<10","","2016-07-11 00:00:00.0","BAY#210.1_SL"
"COLI_E","",NA,"<10","","2016-07-05 00:00:00.0","BAY#210.1_SL"
"COLI_TOTAL","",NA,"<10","","2016-07-05 00:00:00.0","BAY#210.1_SL"
"ENTERO","",NA,"<10","","2016-07-05 00:00:00.0","BAY#210.1_SL"
"COLI_E","",NA,"<10","","2016-06-27 00:00:00.0","BAY#210.1_SL"
"COLI_TOTAL","",NA,"110","","2016-06-27 00:00:00.0","BAY#210.1_SL"
"ENTERO","",NA,"<10","","2016-06-27 00:00:00.0","BAY#210.1_SL"
"COLI_E","",NA,"<10","","2016-06-20 00:00:00.0","BAY#210.1_SL"
"COLI_TOTAL","",NA,"10","","2016-06-20 00:00:00.0","BAY#210.1_SL"
"ENTERO","",NA,"<10","","2016-06-20 00:00:00.0","BAY#210.1_SL"
"COLI_E","",NA,"41","","2016-06-13 00:00:00.0","BAY#210.1_SL"
"COLI_TOTAL","",NA,"85","","2016-06-13 00:00:00.0","BAY#210.1_SL"
"ENTERO","",NA,"10","","2016-06-13 00:00:00.0","BAY#210.1_SL"
"COLI_E","",NA,"<10","","2016-09-06 00:00:00.0","BAY#211_SL"
"COLI_TOTAL","",NA,"10","","2016-09-06 00:00:00.0","BAY#211_SL"
"ENTERO","",NA,"<10","","2016-09-06 00:00:00.0","BAY#211_SL"
"COLI_E","",NA,"122","","2016-08-29 00:00:00.0","BAY#211_SL"
"COLI_TOTAL","",NA,"161","","2016-08-29 00:00:00.0","BAY#211_SL"
"ENTERO","",NA,"20","","2016-08-29 00:00:00.0","BAY#211_SL"
"COLI_E","",NA,"<10","","2016-08-22 00:00:00.0","BAY#211_SL"
"COLI_TOTAL","",NA,"20","","2016-08-22 00:00:00.0","BAY#211_SL"
"ENTERO","",NA,"<10","","2016-08-22 00:00:00.0","BAY#211_SL"
"COLI_E","",NA,"<10","","2016-08-16 00:00:00.0","BAY#211_SL"
"COLI_TOTAL","",NA,"73","","2016-08-16 00:00:00.0","BAY#211_SL"
"ENTERO","",NA,"10","","2016-08-16 00:00:00.0","BAY#211_SL"
"COLI_E","",NA,"548","","2016-08-15 00:00:00.0","BAY#211_SL"
"COLI_TOTAL","",NA,"663","","2016-08-15 00:00:00.0","BAY#211_SL"
"ENTERO","",NA,"471","","2016-08-15 00:00:00.0","BAY#211_SL"
"COLI_E","",NA,"20","","2016-08-08 00:00:00.0","BAY#211_SL"
"COLI_TOTAL","",NA,"663","","2016-08-08 00:00:00.0","BAY#211_SL"
"ENTERO","",NA,"10","","2016-08-08 00:00:00.0","BAY#211_SL"
"COLI_E","",NA,"110","","2016-08-01 00:00:00.0","BAY#211_SL"
"COLI_TOTAL","",NA,"259","","2016-08-01 00:00:00.0","BAY#211_SL"
"ENTERO","",NA,"10","","2016-08-01 00:00:00.0","BAY#211_SL"
"COLI_E","",NA,"<10","","2016-07-25 00:00:00.0","BAY#211_SL"
"COLI_TOTAL","",NA,"75","","2016-07-25 00:00:00.0","BAY#211_SL"
"ENTERO","",NA,"<10","","2016-07-25 00:00:00.0","BAY#211_SL"
"COLI_E","",NA,"10","","2016-07-18 00:00:00.0","BAY#211_SL"
"COLI_TOTAL","",NA,"20","","2016-07-18 00:00:00.0","BAY#211_SL"
"ENTERO","",NA,"<10","","2016-07-18 00:00:00.0","BAY#211_SL"
"COLI_E","",NA,"<10","","2016-07-11 00:00:00.0","BAY#211_SL"
"COLI_TOTAL","",NA,"86","","2016-07-11 00:00:00.0","BAY#211_SL"
"ENTERO","",NA,"<10","","2016-07-11 00:00:00.0","BAY#211_SL"
"COLI_E","",NA,"<10","","2016-07-05 00:00:00.0","BAY#211_SL"
"COLI_TOTAL","",NA,"<10","","2016-07-05 00:00:00.0","BAY#211_SL"
"ENTERO","",NA,"<10","","2016-07-05 00:00:00.0","BAY#211_SL"
"COLI_E","",NA,"<10","","2016-06-27 00:00:00.0","BAY#211_SL"
"COLI_TOTAL","",NA,"63","","2016-06-27 00:00:00.0","BAY#211_SL"
"ENTERO","",NA,"<10","","2016-06-27 00:00:00.0","BAY#211_SL"
"COLI_E","",NA,"31","","2016-06-20 00:00:00.0","BAY#211_SL"
"COLI_TOTAL","",NA,"4611","","2016-06-20 00:00:00.0","BAY#211_SL"
"ENTERO","",NA,"<10","","2016-06-20 00:00:00.0","BAY#211_SL"
"COLI_E","",NA,"10","","2016-06-13 00:00:00.0","BAY#211_SL"
"COLI_TOTAL","",NA,"31","","2016-06-13 00:00:00.0","BAY#211_SL"
"ENTERO","",NA,"<10","","2016-06-13 00:00:00.0","BAY#211_SL"
"COLI_E","",NA,"52","","2016-09-06 00:00:00.0","BAY#300.1_SL"
"COLI_TOTAL","",NA,"432","","2016-09-06 00:00:00.0","BAY#300.1_SL"
"ENTERO","",NA,"<10","","2016-09-06 00:00:00.0","BAY#300.1_SL"
"COLI_E","",NA,"285","","2016-08-29 00:00:00.0","BAY#300.1_SL"
"COLI_TOTAL","",NA,"663","","2016-08-29 00:00:00.0","BAY#300.1_SL"
"ENTERO","",NA,"<10","","2016-08-29 00:00:00.0","BAY#300.1_SL"
"COLI_E","",NA,"31","","2016-08-22 00:00:00.0","BAY#300.1_SL"
