SOURCE,name
BAY#202.4_SL,Crissy Field Beach East
BAY#202.5_SL,Crissy Field Beach West
BAY#210.1_SL,Hyde Street Pier
BAY#211_SL,Aquatic Park
BAY#220_SL,Mission Creek
BAY#300.1_SL,Sunnydale Cove
BAY#301.1_SL,Windsurfer Circle
BAY#301.2_SL, Jackrabbit Beach
BAY#320_SL,Islais Creek
OCEAN#15EAST_SL,Baker Beach East
OCEAN#15_SL,Baker Beach at Lobos Creek
OCEAN#16_SL,Baker Beach West
OCEAN#17_SL,China Beach
OCEAN#18_SL,Ocean Beach at Balboa Street
OCEAN#19_SL,Ocean Beach at Lincoln Way
OCEAN#20_SL,Ocean Beach at Pacheco Street
OCEAN#21_SL,Ocean Beach at Vicente Street
OCEAN#21.1_SL,Ocean Beach at Sloat Boulevard
OCEAN#22_SL,Fort Funston
